epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1911,1.64277,3.74148,1.36512,0.00524,0.6548,0.14307,0.08145,1.31985,3.363,1.13227,0.00021671,0.00021671,0.00021671
2,32.4,1.44394,2.53397,1.19444,0.00549,0.66288,0.25886,0.15756,1.32811,3.21934,1.09022,0.000446039,0.000446039,0.000446039
3,38.6544,1.49449,2.12881,1.18879,0.99378,0.07273,0.24097,0.10532,1.48193,3.13937,1.21091,0.000671168,0.000671168,0.000671168
4,43.4622,1.50476,1.9968,1.23573,0.00606,0.64091,0.26482,0.13881,1.44661,3.09701,1.18876,0.000892095,0.000892095,0.000892095
5,48.1981,1.44266,1.75398,1.19747,0.88307,0.05983,0.22125,0.13445,1.50582,2.99709,1.25654,0.00110882,0.00110882,0.00110882
6,54.4592,1.48976,1.83359,1.23922,0.84419,0.04051,0.26639,0.15979,1.6022,2.95071,1.44406,0.00132135,0.00132135,0.00132135
7,58.8127,1.42129,1.64923,1.16281,0.90559,0.28912,0.4912,0.26335,1.65302,2.49864,1.49409,0.00152967,0.00152967,0.00152967
8,64.5288,1.40871,1.5053,1.16588,0.46475,0.34596,0.38607,0.22265,1.50038,2.39621,1.38402,0.00156198,0.00156198,0.00156198
9,69.2482,1.41571,1.53703,1.17774,0.76059,0.29091,0.48246,0.27932,1.52018,2.32498,1.39039,0.00154698,0.00154698,0.00154698
10,74.1663,1.44398,1.47114,1.22634,0.43703,0.51591,0.47812,0.2607,1.67937,2.15595,1.57002,0.00153197,0.00153197,0.00153197
11,79.1626,1.38848,1.4241,1.19393,0.47512,0.47534,0.4018,0.23113,1.66997,2.33105,1.4803,0.00151697,0.00151697,0.00151697
12,85.0798,1.44444,1.46046,1.23215,0.56284,0.46187,0.52788,0.31804,1.53221,2.42231,1.36311,0.00150197,0.00150197,0.00150197
13,89.2526,1.3452,1.46912,1.20143,0.62404,0.53996,0.57149,0.33289,1.43542,2.40569,1.34561,0.00148696,0.00148696,0.00148696
14,95.0173,1.35297,1.32956,1.16472,0.68523,0.48196,0.54785,0.30695,1.55391,2.28911,1.50486,0.00147196,0.00147196,0.00147196
15,99.7326,1.39456,1.26588,1.17743,0.53525,0.54747,0.56531,0.30747,1.48684,1.94308,1.41842,0.00145696,0.00145696,0.00145696
16,104.41,1.37104,1.32623,1.18562,0.68767,0.54899,0.62443,0.34264,1.58631,1.48608,1.42824,0.00144195,0.00144195,0.00144195
17,110.485,1.32781,1.26796,1.162,0.69289,0.61762,0.70647,0.38681,1.52409,1.76654,1.39544,0.00142695,0.00142695,0.00142695
18,114.632,1.31278,1.24195,1.16222,0.61998,0.62329,0.60693,0.35602,1.4504,1.43567,1.3068,0.00141195,0.00141195,0.00141195
19,119.621,1.34058,1.22708,1.18124,0.60268,0.69116,0.65561,0.36737,1.45302,1.31943,1.33694,0.00139695,0.00139695,0.00139695
20,125.496,1.32805,1.13112,1.18878,0.71227,0.56237,0.64322,0.35707,1.54234,1.55335,1.41914,0.00138194,0.00138194,0.00138194
21,130.082,1.31996,1.10905,1.15374,0.7593,0.63182,0.69214,0.38044,1.55518,1.61538,1.4437,0.00136694,0.00136694,0.00136694
22,135.736,1.33238,1.05689,1.14241,0.52922,0.56024,0.51482,0.29519,1.50814,1.99625,1.42937,0.00135194,0.00135194,0.00135194
23,140.417,1.26615,1.04059,1.13958,0.7787,0.58636,0.68714,0.42627,1.41874,1.19868,1.33691,0.00133693,0.00133693,0.00133693
24,145.023,1.26767,0.98085,1.15551,0.78124,0.58843,0.69978,0.41249,1.4835,1.35019,1.36988,0.00132193,0.00132193,0.00132193
25,150.477,1.31381,1.04035,1.16514,0.7334,0.57457,0.68322,0.3914,1.50593,1.46598,1.34506,0.00130693,0.00130693,0.00130693
26,155.634,1.34002,1.03684,1.14295,0.79567,0.59745,0.71286,0.39572,1.48275,1.40026,1.30416,0.00129193,0.00129193,0.00129193
27,159.952,1.32918,1.04267,1.16778,0.75945,0.63182,0.7212,0.41459,1.55247,1.2938,1.37708,0.00127692,0.00127692,0.00127692
28,165.887,1.29451,1.02773,1.14529,0.72181,0.6344,0.68091,0.40266,1.50356,1.26384,1.27832,0.00126192,0.00126192,0.00126192
29,170.252,1.27162,0.96032,1.11123,0.80254,0.55379,0.68166,0.40322,1.54931,1.21879,1.34646,0.00124692,0.00124692,0.00124692
30,174.349,1.2338,0.9575,1.12862,0.71906,0.71858,0.73179,0.40853,1.6222,1.26704,1.44297,0.00123191,0.00123191,0.00123191
31,180.501,1.21209,0.92048,1.09976,0.7818,0.62222,0.72025,0.41478,1.50315,1.24036,1.31033,0.00121691,0.00121691,0.00121691
32,185.001,1.25705,0.92499,1.11523,0.66746,0.70985,0.71024,0.40907,1.4289,1.11079,1.25468,0.00120191,0.00120191,0.00120191
33,189.508,1.21421,0.92325,1.09408,0.78816,0.66338,0.74306,0.40522,1.50994,1.16212,1.33809,0.0011869,0.0011869,0.0011869
34,195.359,1.25321,0.90343,1.10129,0.8367,0.61364,0.75565,0.4348,1.43979,1.10062,1.29158,0.0011719,0.0011719,0.0011719
35,199.792,1.32958,0.93115,1.13862,0.66708,0.65248,0.68827,0.41401,1.48555,1.36802,1.28775,0.0011569,0.0011569,0.0011569
36,204.021,1.22235,0.90742,1.10083,0.75996,0.66648,0.75186,0.44778,1.44497,1.24176,1.28133,0.0011419,0.0011419,0.0011419
37,210.378,1.19711,0.85826,1.12078,0.88195,0.65115,0.79874,0.45725,1.43443,1.08714,1.27073,0.00112689,0.00112689,0.00112689
38,214.671,1.1919,0.83009,1.08521,0.75478,0.59507,0.70833,0.42998,1.59782,1.28104,1.44717,0.00111189,0.00111189,0.00111189
39,219.075,1.24082,0.88501,1.1037,0.66719,0.57727,0.65468,0.40369,1.51847,1.35384,1.34149,0.00109689,0.00109689,0.00109689
