epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3488,1.64277,3.74148,1.36512,0.00524,0.6548,0.14102,0.07984,1.31985,3.363,1.13227,0.00021671,0.00021671,0.00021671
2,35.8935,1.43898,2.55016,1.19404,0.0055,0.66768,0.25192,0.14156,1.31559,3.2542,1.1097,0.000448065,0.000448065,0.000448065
3,40.3059,1.49515,2.14204,1.20081,0.99365,0.04545,0.25669,0.12411,1.44177,3.15479,1.20984,0.000677319,0.000677319,0.000677319
4,45.8497,1.49699,2.01368,1.2257,0.00273,0.28283,0.12476,0.0768,1.48468,3.44996,1.4167,0.000904473,0.000904473,0.000904473
5,50.537,1.44629,1.77858,1.20601,0.93875,0.03636,0.2452,0.13622,1.52425,2.98142,1.36124,0.00112953,0.00112953,0.00112953
6,55.1799,1.4843,1.78713,1.25613,0.60736,0.17273,0.17228,0.09075,1.54076,2.78225,1.42464,0.00135248,0.00135248,0.00135248
7,60.884,1.42298,1.72588,1.19188,0.59892,0.36782,0.32017,0.16599,1.42217,2.47252,1.34629,0.00157333,0.00157333,0.00157333
8,64.9846,1.39385,1.5564,1.19827,0.43865,0.33258,0.34965,0.20689,1.61941,2.41568,1.54369,0.00161449,0.00161449,0.00161449
9,69.4105,1.42374,1.59663,1.21165,0.76623,0.11709,0.21654,0.12362,1.66989,2.85241,1.54536,0.00160699,0.00160699,0.00160699
10,74.9762,1.45847,1.53328,1.24666,0.54503,0.47955,0.39888,0.21135,1.76159,2.04449,1.69394,0.00159949,0.00159949,0.00159949
11,79.6704,1.37437,1.40843,1.20539,0.59577,0.4752,0.49552,0.2609,1.48197,2.25903,1.49136,0.00159198,0.00159198,0.00159198
12,83.997,1.43407,1.43684,1.23934,0.65957,0.51572,0.57194,0.32545,1.48306,1.97042,1.41435,0.00158448,0.00158448,0.00158448
13,89.6315,1.41025,1.48008,1.22237,0.63171,0.62549,0.66075,0.38643,1.56933,1.70435,1.44177,0.00157698,0.00157698,0.00157698
14,94.182,1.36952,1.35363,1.1871,0.77729,0.5226,0.59843,0.32488,1.582,1.98418,1.47507,0.00156948,0.00156948,0.00156948
15,98.0109,1.4148,1.29115,1.20355,0.46417,0.51565,0.49012,0.27786,1.48891,1.93297,1.37522,0.00156198,0.00156198,0.00156198
16,104.191,1.33021,1.30275,1.17941,0.49251,0.59756,0.58814,0.34494,1.57281,1.66257,1.41385,0.00155448,0.00155448,0.00155448
17,108.312,1.33971,1.2382,1.17733,0.69339,0.60018,0.65851,0.38405,1.44782,1.53089,1.36073,0.00154698,0.00154698,0.00154698
18,112.566,1.31028,1.23034,1.15179,0.67501,0.59015,0.64204,0.37429,1.39768,1.34845,1.27698,0.00153947,0.00153947,0.00153947
19,118.409,1.31194,1.2156,1.16107,0.79167,0.53081,0.6564,0.40006,1.40753,1.22703,1.28615,0.00153197,0.00153197,0.00153197
20,122.814,1.31682,1.14543,1.16898,0.76459,0.54798,0.64226,0.38964,1.48171,1.36854,1.38601,0.00152447,0.00152447,0.00152447
21,126.81,1.30637,1.1031,1.15236,0.60267,0.67727,0.68239,0.40257,1.44926,1.31151,1.40206,0.00151697,0.00151697,0.00151697
